dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
DUNKIN',Bronx,636,CITY ISLAND AVENUE,10464,7188853057,Donuts,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85558153,-73.79148716,210,13,51600,2098227,2056360019,BX10,A,2020-01-02T00:00:00.000
FAMOUS FAMIGLIA PIZZERIA,Manhattan,1398,MADISON AVENUE,10029,2129969797,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,43,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.78787565,-73.9536931,111,4,16002,1051455,1016020058,MN33,Z,2020-01-02T00:00:00.000
KUU,Manhattan,20,JOHN STREET,10038,2125717177,Japanese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,15,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70983737,-74.00887681,101,1,1502,1001104,1000650022,MN25,,
SOHO DINER,Manhattan,320,WEST BROADWAY,10013,2129653091,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,N,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Initial Inspection,40.72190639,-74.00417766,102,1,4700,1087764,1002270028,MN24,,
CICCIO,Manhattan,190,6 AVENUE,10013,6464769498,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,33,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72640782,-74.00365119,102,3,3700,1077761,1005040011,MN24,,
BUTTERFIELD EXPRESS,Manhattan,1102,LEXINGTON AVENUE,10075,2129880196,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.,Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77378363,-73.9597577,108,4,14000,1043192,1014120016,MN40,A,2020-01-02T00:00:00.000
COUSINS MAINE LOBSTER,Manhattan,77,LEXINGTON AVENUE,10010,9175133582,Seafood,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,31,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74130801,-73.98341801,106,2,6800,1018118,1008810061,MN21,,
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Y,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
U LIKE CHINESE RESTAURANT,Brooklyn,602,MARCY AVENUE,11206,7182439096,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,51,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69400823,-73.94894796,303,36,25300,3048777,3017580054,BK75,,
SHANG NOODLE HOUSE,Queens,3810,PRINCE ST,11354,7186665187,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,12,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.7600518,-73.83256289,407,20,87100,4439961,4049720052,QN22,A,2020-01-02T00:00:00.000
SHIMIAODAO YUNAN RICE NOODLE,Queens,5914,KISSENA BLVD,11355,9292007667,Asian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,25,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.7404712,-73.81505613,407,20,83700,4141486,4064400016,QN62,,
I  LOVE DIM SUM,Brooklyn,123,AVENUE U,11223,7189962882,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.59625696,-73.97980292,311,47,40000,3191028,3070970043,BK29,A,2020-01-02T00:00:00.000
KASHMIR 9,Manhattan,478,9 AVENUE,10018,2127367745,Pakistani,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75507133,-73.99506227,104,3,11100,1013610,1007600076,MN13,A,2020-01-02T00:00:00.000
BRAZMEX CAFE,Queens,241,BEACH  116 STREET,11694,9292255879,Brazilian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,2020-08-17T06:03:08.000,Pre-permit (Non-operational) / Initial Inspection,40.58054221,-73.83764065,414,32,93402,4304446,4162120022,QN10,N,
POPEYES,Bronx,4399,WHITE PLAINS ROAD,10466,7186531100,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.89826847,-73.8544487,212,11,41800,2069778,2050420029,BX62,,
TINY SHANGHAI,Manhattan,122,MULBERRY STREET,10013,9172617898,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71783047,-73.99811692,102,1,4100,1002634,1002050012,MN24,A,2020-01-02T00:00:00.000
HURLEY'S SALOON,Manhattan,232,WEST   48 STREET,10036,2127658981,Irish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.7604338,-73.98562239,105,3,12500,1024770,1010190054,MN17,A,2020-01-02T00:00:00.000
U LIKE CHINESE RESTAURANT,Brooklyn,602,MARCY AVENUE,11206,7182439096,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,51,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69400823,-73.94894796,303,36,25300,3048777,3017580054,BK75,,
NEW SUN MARY BAKERY,Queens,133-57,41 ROAD,11355,7184608800,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.75705369,-73.830134,407,20,84900,4464147,4050410041,QN22,A,2020-01-02T00:00:00.000
CAMELLIA FAMILY,Queens,4215,COLLEGE POINT BLVD,11355,7188860123,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,31,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75450534,-73.83304972,407,20,84900,4115048,4051010001,QN22,,
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212,7189279302,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,23,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.66819977,-73.90648961,316,41,90600,3252323,3035260325,BK81,B,2020-01-02T00:00:00.000
AINSWORTH MIDTOWN,Manhattan,45,EAST   33 STREET,10016,2122011228,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74688804,-73.98294383,105,2,7400,1080794,1008637501,MN17,,
EL TAPATIO MEXICAN RESTAURANT,Manhattan,209,EAST  116 STREET,10029,2128763055,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,35,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.79775293,-73.93955332,111,8,18800,1052569,1016660006,MN34,,
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212,7189279302,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,23,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.66819977,-73.90648961,316,41,90600,3252323,3035260325,BK81,B,2020-01-02T00:00:00.000
OMEGA SALAD BAR AND DELI,Manhattan,351,WEST  125 STREET,10027,7182381000,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,11,2020-08-17T06:03:08.000,Pre-permit (Operational) / Re-inspection,40.81085707,-73.9527956,109,9,20901,1059309,1019520011,MN09,A,2020-01-02T00:00:00.000
ABAYA THAI CUISINE,Manhattan,318,WEST   36 STREET,10018,2128683399,Thai,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75379768,-73.99332264,104,3,11100,1013579,1007590054,MN13,A,2020-01-02T00:00:00.000
KAM WAH RESTAURANT,Brooklyn,208,LEWIS AVENUE,11221,7184432100,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68945384,-73.93635249,303,36,27900,3043987,3016190051,BK35,A,2020-01-02T00:00:00.000
SUBWAY,Manhattan,3920,BROADWAY,10032,2127409180,Sandwiches/Salads/Mixed Buffet,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10H,Proper sanitization not provided for utensil ware washing operation.,N,53,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36,,
KINI,Queens,4227,35TH AVE,11101,7183619222,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,31,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75426147,-73.92024651,401,26,15900,4307241,4006750055,QN70,,
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
NEW KING'S FOOD RESTAURANT,Brooklyn,127,MALCOLM X BOULEVARD,11221,7189197176,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68910995,-73.93027693,303,36,38700,3044524,3016320005,BK35,A,2020-01-02T00:00:00.000
BRAZMEX CAFE,Queens,241,BEACH  116 STREET,11694,9292255879,Brazilian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,9,2020-08-17T06:03:08.000,Pre-permit (Non-operational) / Initial Inspection,40.58054221,-73.83764065,414,32,93402,4304446,4162120022,QN10,N,
LA GUALACENA BAR & RESTAURANT,Brooklyn,178,WYCKOFF AVENUE,11237,7184561002,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturerâ€™s documentation not maintained on site.",N,,2020-08-17T06:03:08.000,Trans Fat / Initial Inspection,40.70213514,-73.91577204,304,37,44300,3075165,3032900035,BK77,,
WYCKOFF RESTAURANT,Brooklyn,250,WYCKOFF AVENUE,11237,3472945531,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,16,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.7005548,-73.91295376,304,37,44100,3076181,3033280032,BK77,B,2020-01-02T00:00:00.000
ABAYA THAI CUISINE,Manhattan,318,WEST   36 STREET,10018,2128683399,Thai,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75379768,-73.99332264,104,3,11100,1013579,1007590054,MN13,A,2020-01-02T00:00:00.000
POPEYES,Bronx,4399,WHITE PLAINS ROAD,10466,7186531100,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.89826847,-73.8544487,212,11,41800,2069778,2050420029,BX62,,
SAMBAK SAMBABJIP,Queens,4111,150TH ST,11355,7184611212,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,21,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76235044,-73.81379667,407,20,116700,4114917,4050580016,QN51,B,2020-01-02T00:00:00.000
R & T PIZZA,Manhattan,2236,AMSTERDAM AVENUE,10032,2127959019,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,33,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84180111,-73.93551225,112,10,25300,1063081,1021280051,MN36,,
PABLO'S RESTAURANT,Brooklyn,43,NEWKIRK PLAZA,11226,7184217603,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.63472908,-73.96273862,314,40,52000,3121197,3052360048,BK42,A,2020-01-02T00:00:00.000
SUBWAY,Manhattan,3920,BROADWAY,10032,2127409180,Sandwiches/Salads/Mixed Buffet,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,53,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36,,
RED LOBSTER,Manhattan,261,WEST  125 STREET,10027,2122801930,Seafood,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11,,
JK & SONS COFFEE SHOP,Brooklyn,801,BROADWAY,11206,7187822366,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.6997131,-73.94013664,304,34,38900,3071691,3031320006,BK78,,
WINGSTOP RESTAURANT,Brooklyn,935,BROADWAY,11206,3475649555,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,18,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69722665,-73.93566345,304,34,38900,3072000,3031600005,BK78,,
MAR Y TIERRA RESTAURANT & LOUNGE,Bronx,3236,BAINBRIDGE AVENUE,10467,7186557764,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.87638922,-73.87964653,207,11,42300,2018154,2033430008,BX43,,
NEW PEKING RESTAURANT,Bronx,26,EAST  183 STREET,10453,7185633520,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.85852407,-73.90320961,205,14,23900,2014065,2031860063,BX40,A,2020-01-02T00:00:00.000
STANTON PIZZERIA,Manhattan,127,STANTON STREET,10002,2125334252,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,38,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.72084894,-73.98655811,103,1,3001,1004312,1003540015,MN27,,
JIMMY RYAN'S,Bronx,3005,MIDDLETOWN ROAD,10461,7188635687,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.84393617,-73.83017875,210,13,26602,2046055,2041680008,BX10,A,2020-01-02T00:00:00.000
KOSHER HUT OF BROOKLYN,Brooklyn,709,KINGS HIGHWAY,11223,7183768996,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,23,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.60619789,-73.96543763,315,44,41800,3177500,3066640027,BK25,,
NEW PEKING KITCHEN,Queens,77-15,37 AVENUE,11372,7184269789,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74928369,-73.88874109,403,25,28700,4029588,4012770036,QN28,A,2020-01-02T00:00:00.000
NEW YORK DINER,Queens,Sep-49,NORTHERN BOULEVARD,11101,7186268857,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,8,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.75343577,-73.91333918,401,26,16300,4013651,4007350005,QN70,A,2020-01-02T00:00:00.000
EL TAPATIO MEXICAN RESTAURANT,Manhattan,209,EAST  116 STREET,10029,2128763055,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,35,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.79775293,-73.93955332,111,8,18800,1052569,1016660006,MN34,,
SLICED BY HARLEM PIZZA CO.,Manhattan,1215,AMSTERDAM AVENUE,10027,9177141411,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80914959,-73.95933887,109,7,20701,1059514,1019620070,MN09,,
FULL KEE SEAFOOD RESTURANT,Queens,13614,38TH AVE,11354,7183580666,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76094057,-73.83033342,407,20,87100,4112486,4049780110,QN22,A,2020-01-02T00:00:00.000
ALEGRIA BAR & RESTAURANT,Brooklyn,266,SUYDAM STREET,11237,7189152576,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70228881,-73.92354403,304,34,42900,3073206,3032200008,BK77,B,2020-01-02T00:00:00.000
BAGELS AND CREAM,Bronx,1728,EASTCHESTER ROAD,10461,7189755101,Bagels/Pretzels,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.84716537,-73.84474765,211,13,28400,2047156,2042260506,BX37,A,2020-01-02T00:00:00.000
SWELL DIVE,Brooklyn,1013,BEDFORD AVENUE,11205,9176524779,Tex-Mex,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68927332,-73.95507799,303,36,24300,3322140,3017880009,BK75,,
JIMMY'S RESTAURANT,Queens,4226,COLLEGE POINT BLVD,11355,9178681505,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.75449439,-73.8330678,407,20,84900,4456768,4050650027,QN22,A,2020-01-02T00:00:00.000
CAMELLIA FAMILY,Queens,4215,COLLEGE POINT BLVD,11355,7188860123,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,31,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75450534,-73.83304972,407,20,84900,4115048,4051010001,QN22,,
KAM WAH RESTAURANT,Brooklyn,208,LEWIS AVENUE,11221,7184432100,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68945384,-73.93635249,303,36,27900,3043987,3016190051,BK35,A,2020-01-02T00:00:00.000
GOLDEN PALACE,Queens,4120,DELONG ST,11355,7188869588,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75470445,-73.83598731,407,20,84900,4596274,4050667504,QN22,A,2020-01-02T00:00:00.000
MAR Y TIERRA RESTAURANT & LOUNGE,Bronx,3236,BAINBRIDGE AVENUE,10467,7186557764,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.87638922,-73.87964653,207,11,42300,2018154,2033430008,BX43,,
BLEND,Queens,4704,VERNON BOULEVARD,11101,7187292800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,41,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74528782,-73.95325366,402,26,700,4000085,4000290046,QN31,,
COUSINS MAINE LOBSTER,Manhattan,77,LEXINGTON AVENUE,10010,9175133582,Seafood,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74130801,-73.98341801,106,2,6800,1018118,1008810061,MN21,,
GREEN GARDEN VILLAGE,Manhattan,216,GRAND STREET,10013,6469129136,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,35,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71890087,-73.99605341,102,1,4100,1006934,1004700028,MN24,,
CAMELLIA FAMILY,Queens,4215,COLLEGE POINT BLVD,11355,7188860123,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,31,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75450534,-73.83304972,407,20,84900,4115048,4051010001,QN22,,
CORNER DONUT COFFEE SHOP,Queens,1933,MOTT AVE,11691,7183275421,CafÃ©/Coffee/Tea,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.60392882,-73.75234535,414,31,101001,4298263,4155610029,QN15,A,2020-01-02T00:00:00.000
